CandleTime,UtcTime,Signal,ProdTrade,SkipReason,Classification
1779798900,2026-05-26 12:35 UTC,,,engine_stopped,other_skip
1779799200,2026-05-26 12:40 UTC,,,no_signal,no_signal
1779799500,2026-05-26 12:45 UTC,,,no_signal,no_signal
1779799800,2026-05-26 12:50 UTC,,,no_signal,no_signal
1779800100,2026-05-26 12:55 UTC,,,no_signal,no_signal
1779800400,2026-05-26 13:00 UTC,,,no_signal,no_signal
1779800700,2026-05-26 13:05 UTC,,,no_signal,no_signal
1779801000,2026-05-26 13:10 UTC,,,no_signal,no_signal
1779801300,2026-05-26 13:15 UTC,,,no_signal,no_signal
1779801600,2026-05-26 13:20 UTC,,,no_signal,no_signal
1779801900,2026-05-26 13:25 UTC,,,no_signal,no_signal
1779802200,2026-05-26 13:30 UTC,long,yes,,aligned
1779802500,2026-05-26 13:35 UTC,long,yes,,aligned
1779802800,2026-05-26 13:40 UTC,,,no_signal,no_signal
1779803100,2026-05-26 13:45 UTC,,,no_signal,no_signal
1779803400,2026-05-26 13:50 UTC,short,yes,,aligned
1779803700,2026-05-26 13:55 UTC,,,no_signal,no_signal
1779804000,2026-05-26 14:00 UTC,,,no_signal,no_signal
1779804300,2026-05-26 14:05 UTC,,,no_signal,no_signal
1779804600,2026-05-26 14:10 UTC,,,no_signal,no_signal
1779804900,2026-05-26 14:15 UTC,short,,entry_price_out_of_range,execution_skip
1779805200,2026-05-26 14:20 UTC,short,yes,,aligned
1779805500,2026-05-26 14:25 UTC,short,yes,,aligned
1779805800,2026-05-26 14:30 UTC,short,yes,,aligned
1779806100,2026-05-26 14:35 UTC,short,yes,,aligned
1779806400,2026-05-26 14:40 UTC,long,yes,,aligned
1779806700,2026-05-26 14:45 UTC,long,yes,,aligned
1779807000,2026-05-26 14:50 UTC,,,no_signal,no_signal
1779807300,2026-05-26 14:55 UTC,,,no_signal,no_signal
1779807600,2026-05-26 15:00 UTC,long,,engine_stopped,missed_signal
1779807900,2026-05-26 15:05 UTC,long,,entry_price_out_of_range,execution_skip
1779808200,2026-05-26 15:10 UTC,long,yes,,aligned
1779808500,2026-05-26 15:15 UTC,,,no_signal,no_signal
1779808800,2026-05-26 15:20 UTC,long,yes,,aligned
1779809100,2026-05-26 15:25 UTC,long,yes,,aligned
1779809400,2026-05-26 15:30 UTC,long,yes,,aligned
