Id,CandleTime,UtcTime,Side,Trend,EntryPrice,StakeUsd,PnlUsd_prod,Won_prod,Signal_side,Signal_match,Open,Close,Won_candle,Pnl_bt_A,Pnl_bt_C,Pnl_at_0.5,Entry_edge
283,1779802200,2026-05-26 13:30 UTC,Up,Long,0.5,3.68,-3.68,0,long,yes,76798.05,76799.61,1,3.6274,3.68,-3.68,0.0
284,1779802500,2026-05-26 13:35 UTC,Up,Long,0.49,3.626,3.774,1,long,yes,76799.61,76856.75,1,3.6818,3.774,3.626,0.148
285,1779803400,2026-05-26 13:50 UTC,Down,Short,0.34,3.6856,7.1544,1,short,yes,77364.1,77177.49,1,3.7371,7.1544,3.6856,3.4688
286,1779805200,2026-05-26 14:20 UTC,Down,Short,0.5,3.79,-3.79,0,short,yes,77526.33,77788.36,0,-3.7362,-3.79,-3.79,0.0
287,1779805500,2026-05-26 14:25 UTC,Down,Short,0.49,3.7338,-3.7338,0,short,yes,77788.36,77958.4,0,-3.6802,-3.7338,-3.7338,0.0
288,1779805800,2026-05-26 14:30 UTC,Down,Short,0.5,3.68,3.68,1,short,yes,77958.4,77562.25,1,3.625,3.68,3.68,0.0
289,1779806100,2026-05-26 14:35 UTC,Down,Short,0.45,3.6225,4.4275,1,short,yes,77562.25,76933.4,1,3.6793,4.4275,3.6225,0.805
290,1779806400,2026-05-26 14:40 UTC,Up,Long,0.48,3.6768,-3.6768,0,long,yes,76933.39,76820.0,0,-3.7345,-3.6768,-3.6768,0.0
291,1779806700,2026-05-26 14:45 UTC,Up,Long,0.5,3.745,3.745,1,long,yes,76820.01,76978.01,1,3.6785,3.745,3.745,0.0
292,1779808200,2026-05-26 15:10 UTC,Up,Long,0.47,3.7459,4.2241,1,long,yes,76877.02,76969.64,1,3.7329,4.2241,3.7459,0.4782
293,1779808800,2026-05-26 15:20 UTC,Up,Long,0.5,3.92,-3.92,0,long,yes,76857.96,76706.42,0,-3.7888,-3.92,-3.92,0.0
294,1779809100,2026-05-26 15:25 UTC,Up,Long,0.5,3.86,-3.86,0,long,yes,76706.42,76644.0,0,-3.732,-3.86,-3.86,0.0
295,1779809400,2026-05-26 15:30 UTC,Up,Long,0.5,3.805,-3.805,0,long,yes,76644.01,76435.21,0,-3.676,-3.805,-3.805,0.0
